"year","state","county","cases","population","type"
2019,"Missouri","Pettis County",161,42542,"chlamydia"
2019,"Michigan","Newaygo County",17,48892,"gonorrhea"
2019,"Missouri","Caldwell County",1,9108,"primary and secondary syphilis"
2019,"Kentucky","Knox County",18,31304,"primary and secondary syphilis"
2019,"Nebraska","Burt County",0,6488,"primary and secondary syphilis"
2019,"Virginia","Charlottesville city",59,48117,"gonorrhea"
2019,"Nebraska","Dakota County",0,20083,"primary and secondary syphilis"
2019,"Missouri","Sullivan County",20,6221,"chlamydia"
2019,"Oregon","Jackson County",37,219564,"primary and secondary syphilis"
2019,"Pennsylvania","Chester County",203,522046,"gonorrhea"
2019,"Illinois","Montgomery County",27,28601,"gonorrhea"
2019,"Texas","Wilson County",47,50224,"gonorrhea"
2019,"Nebraska","Clay County",0,6214,"gonorrhea"
2019,"Florida","Washington County",5,24880,"primary and secondary syphilis"
2019,"South Carolina","Clarendon County",3,33700,"primary and secondary syphilis"
2019,"Tennessee","Rutherford County",31,324890,"primary and secondary syphilis"
2019,"Colorado","Montezuma County",33,26158,"gonorrhea"
2019,"Texas","Dimmit County",0,10308,"primary and secondary syphilis"
2019,"Pennsylvania","Potter County",1,16622,"primary and secondary syphilis"
2019,"Iowa","Dubuque County",12,96854,"primary and secondary syphilis"
2019,"Tennessee","Hardeman County",4,25220,"primary and secondary syphilis"
2019,"Colorado","Archuleta County",0,13765,"primary and secondary syphilis"
2019,"Montana","Meagher County",1,1866,"chlamydia"
2019,"Washington","Franklin County",706,94347,"chlamydia"
2019,"Montana","Valley County",12,7437,"chlamydia"
2019,"Georgia","Marion County",40,8351,"chlamydia"
2019,"Kentucky","Edmonson County",0,12274,"primary and secondary syphilis"
2019,"New Mexico","Mora County",7,4506,"gonorrhea"
2019,"Washington","Okanogan County",45,42132,"gonorrhea"
2019,"Nevada","Pershing County",10,6666,"chlamydia"
2019,"Indiana","White County",68,24133,"chlamydia"
2019,"Ohio","Knox County",154,61893,"chlamydia"
2019,"Nebraska","Grant County",0,660,"chlamydia"
2019,"West Virginia","Logan County",15,32607,"gonorrhea"
2019,"Kentucky","Mercer County",76,21774,"chlamydia"
2019,"Minnesota","Nicollet County",17,34220,"gonorrhea"
2019,"Oklahoma","Roger Mills County",11,3656,"chlamydia"
2019,"Mississippi","Panola County",10,34178,"primary and secondary syphilis"
2019,"Oklahoma","Adair County",39,22082,"gonorrhea"
2019,"North Dakota","Emmons County",0,3295,"primary and secondary syphilis"
2019,"Mississippi","Scott County",18,28287,"primary and secondary syphilis"
2019,"Kansas","Wallace County",2,1503,"chlamydia"
2019,"Kansas","Dickinson County",59,18717,"chlamydia"
2019,"North Carolina","Alamance County",18,166436,"primary and secondary syphilis"
2019,"Indiana","Howard County",379,82366,"chlamydia"
2019,"Georgia","Ware County",305,35680,"chlamydia"
2019,"Missouri","Benton County",27,19278,"chlamydia"
2019,"Nebraska","Sheridan County",0,5190,"gonorrhea"
2019,"Texas","Hockley County",127,22980,"chlamydia"
2019,"Texas","San Saba County",1,6054,"primary and secondary syphilis"
2019,"Missouri","Pemiscot County",0,16272,"primary and secondary syphilis"
2019,"Georgia","Stephens County",1,26035,"primary and secondary syphilis"
2019,"Michigan","Hillsdale County",35,45749,"gonorrhea"
2019,"Iowa","Palo Alto County",4,8929,"gonorrhea"
2019,"South Dakota","Lake County",27,13057,"chlamydia"
2019,"Iowa","Ringgold County",6,4968,"chlamydia"
2019,"Minnesota","Sibley County",0,15028,"primary and secondary syphilis"
2019,"Nebraska","Otoe County",2,15985,"primary and secondary syphilis"
2019,"Oklahoma","Logan County",5,47291,"primary and secondary syphilis"
2019,"Oregon","Multnomah County",217,811880,"primary and secondary syphilis"
2019,"Texas","Gray County",30,21895,"gonorrhea"
2019,"Ohio","Seneca County",3,55207,"primary and secondary syphilis"
2019,"Minnesota","Todd County",0,24582,"primary and secondary syphilis"
2019,"Alabama","Tuscaloosa County",575,208911,"gonorrhea"
2019,"Maine","Oxford County",7,57618,"gonorrhea"
2019,"Ohio","Licking County",709,175769,"chlamydia"
2019,"Colorado","San Miguel County",3,8191,"gonorrhea"
2019,"Florida","Gulf County",52,16164,"chlamydia"
2019,"Virginia","Northampton County",79,11735,"chlamydia"
2019,"Tennessee","Loudon County",1,53054,"primary and secondary syphilis"
2019,"Louisiana","Lincoln Parish",202,47196,"gonorrhea"
2019,"New York","Cattaraugus County",227,76840,"chlamydia"
2019,"Kentucky","Lincoln County",2,24644,"primary and secondary syphilis"
2019,"Mississippi","Itawamba County",0,23517,"gonorrhea"
2019,"Virginia","Fairfax County",3781,1150795,"chlamydia"
2019,"Mississippi","Chickasaw County",7,17171,"primary and secondary syphilis"
2019,"Missouri","Greene County",2040,291923,"chlamydia"
2019,"West Virginia","Mercer County",37,59131,"gonorrhea"
2019,"Missouri","Putnam County",11,4757,"chlamydia"
2019,"California","Monterey County",2425,435594,"chlamydia"
2019,"Montana","Ravalli County",79,43172,"chlamydia"
2019,"Indiana","Harrison County",16,40350,"gonorrhea"
2019,"Florida","Citrus County",152,147929,"gonorrhea"
2019,"North Carolina","Burke County",352,90382,"chlamydia"
2019,"North Carolina","Alamance County",1021,166436,"chlamydia"
2019,"Rhode Island","Newport County",60,82542,"gonorrhea"
2019,"Georgia","Jackson County",8,70422,"primary and secondary syphilis"
2019,"Illinois","Greene County",0,13044,"primary and secondary syphilis"
2019,"Nebraska","Cuming County",2,8940,"gonorrhea"
2019,"Montana","Dawson County",0,8680,"primary and secondary syphilis"
2019,"Minnesota","Stevens County",16,9753,"chlamydia"
2019,"Virginia","Grayson County",10,15631,"gonorrhea"
2019,"Georgia","Bacon County",9,11185,"gonorrhea"
2019,"Texas","Roberts County",1,903,"chlamydia"
2019,"Alabama","Chambers County",114,33615,"gonorrhea"
2019,"Louisiana","De Soto Parish",243,27436,"chlamydia"
2019,"Colorado","Dolores County",2,2074,"chlamydia"
2019,"Colorado","Conejos County",0,8200,"primary and secondary syphilis"
2019,"West Virginia","McDowell County",20,18223,"chlamydia"
2019,"Minnesota","Olmsted County",594,156277,"chlamydia"
2019,"Idaho","Latah County",175,40134,"chlamydia"
2019,"Illinois","Pulaski County",0,5463,"primary and secondary syphilis"
2019,"Oregon","Union County",0,26461,"primary and secondary syphilis"
2019,"Kentucky","Trigg County",0,14643,"primary and secondary syphilis"
2019,"Pennsylvania","Mifflin County",2,46222,"primary and secondary syphilis"
2019,"Virginia","Franklin County",0,56195,"primary and secondary syphilis"
2019,"Oklahoma","Cleveland County",534,281669,"gonorrhea"
2019,"North Carolina","Orange County",176,146027,"gonorrhea"
2019,"Nevada","Nye County",93,45346,"chlamydia"
2019,"Virginia","Surry County",11,6474,"gonorrhea"
2019,"Mississippi","Smith County",35,16002,"gonorrhea"
2019,"Illinois","Calhoun County",2,4802,"gonorrhea"
2019,"South Dakota","Tripp County",6,5478,"gonorrhea"
2019,"Virginia","Colonial Heights city",114,17833,"chlamydia"
2019,"Alabama","Houston County",10,104722,"primary and secondary syphilis"
2019,"Montana","Rosebud County",113,9063,"gonorrhea"
2019,"Oklahoma","Bryan County",287,47192,"chlamydia"
2019,"Virginia","Hampton city",27,134313,"primary and secondary syphilis"
2019,"Florida","Hardee County",1,27245,"primary and secondary syphilis"
2019,"Michigan","Isabella County",56,70562,"gonorrhea"
2019,"Mississippi","Madison County",307,105630,"gonorrhea"
2019,"South Dakota","Miner County",0,2213,"primary and secondary syphilis"
2019,"Ohio","Summit County",28,541918,"primary and secondary syphilis"
2019,"New Jersey","Gloucester County",278,291408,"gonorrhea"
2019,"Mississippi","Quitman County",95,7051,"chlamydia"
2019,"Wyoming","Lincoln County",0,19434,"primary and secondary syphilis"
2019,"Vermont","Windsor County",1,55286,"primary and secondary syphilis"
2019,"Arkansas","Ashley County",0,20046,"primary and secondary syphilis"
2019,"Georgia","Muscogee County",30,194160,"primary and secondary syphilis"
2019,"Missouri","Benton County",14,19278,"gonorrhea"
2019,"Oregon","Malheur County",202,30725,"chlamydia"
2019,"Georgia","Butts County",124,24193,"chlamydia"
2019,"Tennessee","Macon County",83,24265,"chlamydia"
2019,"Maine","Hancock County",0,54811,"primary and secondary syphilis"
2019,"New York","Warren County",144,64265,"chlamydia"
2019,"Missouri","Howell County",150,40076,"chlamydia"
2019,"Virginia","Russell County",0,26748,"primary and secondary syphilis"
2019,"Idaho","Franklin County",21,13726,"chlamydia"
2019,"Arkansas","Calhoun County",23,5277,"chlamydia"
2019,"Michigan","Eaton County",108,109826,"gonorrhea"
2019,"Texas","Comanche County",5,13534,"gonorrhea"
2019,"Virginia","Prince George County",5,38082,"primary and secondary syphilis"
2019,"Kentucky","Wayne County",0,20468,"primary and secondary syphilis"
2019,"South Dakota","Buffalo County",35,2036,"chlamydia"
2019,"Texas","Montgomery County",413,590925,"gonorrhea"
2019,"Mississippi","Harrison County",1626,206650,"chlamydia"
2019,"South Carolina","Horry County",708,344147,"gonorrhea"
2019,"Missouri","Platte County",162,102985,"gonorrhea"
2019,"Maryland","Prince George's County",169,909308,"primary and secondary syphilis"
2019,"Arkansas","Izard County",7,13593,"gonorrhea"
2019,"Wisconsin","Pepin County",0,7289,"primary and secondary syphilis"
2019,"Vermont","Chittenden County",100,164572,"gonorrhea"
2019,"South Dakota","Meade County",18,28294,"gonorrhea"
2019,"Texas","Clay County",12,10456,"chlamydia"
2019,"Kentucky","Carter County",13,27004,"gonorrhea"
2019,"Nebraska","Thayer County",0,5039,"gonorrhea"
2019,"Mississippi","Jasper County",73,16428,"gonorrhea"
2019,"Massachusetts","Worcester County",626,830839,"gonorrhea"
2019,"Wyoming","Carbon County",30,14971,"chlamydia"
2019,"New Jersey","Somerset County",842,331164,"chlamydia"
2019,"Ohio","Meigs County",0,23106,"primary and secondary syphilis"
2019,"Kansas","Sheridan County",0,2533,"primary and secondary syphilis"
2019,"Texas","San Augustine County",5,8232,"gonorrhea"
2019,"Kentucky","Henry County",3,16106,"primary and secondary syphilis"
2019,"Arkansas","Lawrence County",24,16434,"gonorrhea"
2019,"Texas","Cameron County",2077,423908,"chlamydia"
2019,"Illinois","Shelby County",57,21741,"chlamydia"
2019,"Florida","Hillsborough County",2808,1436888,"gonorrhea"
2019,"Nebraska","Johnson County",0,5134,"gonorrhea"
2019,"Missouri","Howell County",1,40076,"primary and secondary syphilis"
2019,"Washington","Mason County",8,65507,"primary and secondary syphilis"
2019,"Louisiana","Calcasieu Parish",522,203112,"gonorrhea"
2019,"New Hampshire","Belknap County",116,61022,"chlamydia"
2019,"Michigan","Luce County",2,6283,"gonorrhea"
2019,"Alaska","Denali Borough",1,2059,"gonorrhea"
2019,"Massachusetts","Plymouth County",2184,518132,"chlamydia"
2019,"Georgia","Bibb County",718,153095,"gonorrhea"
2019,"Idaho","Lewis County",0,3861,"primary and secondary syphilis"
2019,"Texas","Jim Hogg County",3,5248,"gonorrhea"
2019,"Missouri","Wright County",6,18378,"gonorrhea"
2019,"Iowa","Franklin County",3,10124,"gonorrhea"
2019,"Oregon","Gilliam County",0,1894,"gonorrhea"
2019,"Oregon","Lane County",54,379611,"primary and secondary syphilis"
2019,"Kentucky","Nelson County",0,45851,"primary and secondary syphilis"
2019,"Alabama","Tallapoosa County",61,40497,"gonorrhea"
2019,"Oklahoma","Blaine County",19,9485,"gonorrhea"
2019,"Arkansas","Franklin County",51,17810,"chlamydia"
2019,"Kansas","Geary County",83,32594,"gonorrhea"
2019,"South Dakota","Marshall County",4,5112,"chlamydia"
2019,"Nebraska","Boone County",0,5239,"primary and secondary syphilis"
2019,"Kansas","Wichita County",4,2105,"chlamydia"
2019,"Colorado","Conejos County",5,8200,"gonorrhea"
2019,"Louisiana","Caldwell Parish",20,9960,"gonorrhea"
2019,"Tennessee","Coffee County",3,55700,"primary and secondary syphilis"
2019,"Georgia","Early County",30,10247,"gonorrhea"
2019,"Missouri","Franklin County",86,103670,"gonorrhea"
2019,"Indiana","Wells County",44,28206,"chlamydia"
2019,"Kentucky","Bullitt County",6,81069,"primary and secondary syphilis"
2019,"Texas","Guadalupe County",170,163694,"gonorrhea"
2019,"Washington","King County",11639,2233163,"chlamydia"
2019,"North Carolina","Warren County",129,19807,"chlamydia"
2019,"New York","Orleans County",151,40612,"chlamydia"
2019,"Texas","Bell County",51,355642,"primary and secondary syphilis"
2019,"Texas","Hamilton County",0,8484,"primary and secondary syphilis"
2019,"Texas","Nolan County",62,14751,"chlamydia"
2019,"Michigan","Schoolcraft County",1,8068,"gonorrhea"
2019,"Colorado","Jackson County",0,1399,"primary and secondary syphilis"
2019,"North Carolina","Sampson County",119,63626,"gonorrhea"
2019,"New Hampshire","Cheshire County",17,76493,"gonorrhea"
2019,"Nebraska","Adams County",100,31511,"chlamydia"
2019,"California","Stanislaus County",3228,549815,"chlamydia"
2019,"Alabama","Madison County",47,366519,"primary and secondary syphilis"
2019,"New York","Cortland County",4,47823,"primary and secondary syphilis"
2019,"North Carolina","Gates County",1,11573,"primary and secondary syphilis"
2019,"Missouri","Marion County",58,28592,"gonorrhea"
2019,"Vermont","Windsor County",137,55286,"chlamydia"
2019,"Texas","Brown County",129,37924,"chlamydia"
2019,"Texas","Galveston County",480,337890,"gonorrhea"
2019,"Maryland","Baltimore County",1527,828431,"gonorrhea"
2019,"Ohio","Montgomery County",70,532331,"primary and secondary syphilis"
2019,"Louisiana","St. John the Baptist Parish",6,43184,"primary and secondary syphilis"
2019,"North Carolina","Wake County",2172,1092305,"gonorrhea"
2019,"Mississippi","Hinds County",3385,237085,"chlamydia"
2019,"Louisiana","Vermilion Parish",81,59830,"gonorrhea"
2019,"Louisiana","Pointe Coupee Parish",137,21940,"chlamydia"
2019,"Texas","Kerr County",91,52405,"chlamydia"
2019,"Louisiana","Jackson Parish",4,15902,"primary and secondary syphilis"
2019,"Illinois","Pike County",1,15611,"primary and secondary syphilis"
2019,"New Mexico","Grant County",123,27346,"chlamydia"
2019,"Florida","Holmes County",72,19477,"chlamydia"
2019,"Nevada","Lyon County",177,55808,"chlamydia"
2019,"Virginia","Falls Church city",10,14772,"gonorrhea"
2019,"Missouri","Adair County",37,25339,"gonorrhea"
2019,"Indiana","Posey County",0,25540,"primary and secondary syphilis"
2019,"Kentucky","Hickman County",6,4421,"gonorrhea"
2019,"Virginia","Galax city",24,6423,"chlamydia"
2019,"Georgia","Union County",7,24001,"gonorrhea"
2019,"Illinois","De Witt County",20,15769,"gonorrhea"
2019,"West Virginia","Webster County",11,8285,"gonorrhea"
2019,"Nebraska","Lincoln County",17,35185,"gonorrhea"
2019,"Illinois","Ford County",30,13264,"chlamydia"
2019,"Colorado","Fremont County",113,48021,"chlamydia"
2019,"Oklahoma","Pawnee County",5,16390,"primary and secondary syphilis"
2019,"Kentucky","Taylor County",110,25549,"chlamydia"
2019,"Mississippi","Forrest County",1064,75036,"chlamydia"
2019,"Arkansas","Pike County",10,10673,"gonorrhea"
2019,"North Carolina","Wake County",154,1092305,"primary and secondary syphilis"
2019,"Alabama","Macon County",222,18439,"chlamydia"
2019,"Texas","Medina County",0,50921,"primary and secondary syphilis"
2019,"Wyoming","Park County",2,29324,"gonorrhea"
2019,"Nebraska","Chase County",1,3977,"gonorrhea"
2019,"Tennessee","Lincoln County",151,34117,"chlamydia"
2019,"Kansas","Allen County",42,12444,"chlamydia"
2019,"Texas","Collingsworth County",0,2962,"primary and secondary syphilis"
2019,"Montana","Big Horn County",0,13338,"primary and secondary syphilis"
2019,"Tennessee","Wayne County",61,16558,"chlamydia"
2019,"Alabama","Tallapoosa County",2,40497,"primary and secondary syphilis"
2019,"Kentucky","Lewis County",38,13257,"chlamydia"
2019,"Michigan","Saginaw County",1284,190800,"chlamydia"
2019,"Iowa","Clinton County",226,46518,"chlamydia"
2019,"Wisconsin","Portage County",246,70942,"chlamydia"
2019,"Pennsylvania","Mifflin County",19,46222,"gonorrhea"
2019,"Mississippi","Winston County",64,18165,"gonorrhea"
2019,"North Carolina","Vance County",283,44582,"gonorrhea"
2019,"Idaho","Blaine County",7,22601,"gonorrhea"
2019,"Virginia","Norfolk city",3606,244076,"chlamydia"
2019,"Minnesota","Lyon County",0,25629,"primary and secondary syphilis"
2019,"South Dakota","Deuel County",1,4337,"gonorrhea"
2019,"Minnesota","Goodhue County",18,46403,"gonorrhea"
2019,"Montana","Silver Bow County",1,34993,"primary and secondary syphilis"
2019,"Wisconsin","Rusk County",26,14147,"chlamydia"
2019,"Kansas","Johnson County",2149,597555,"chlamydia"
2019,"Oklahoma","Harmon County",0,2664,"primary and secondary syphilis"
2019,"Kansas","Graham County",1,2492,"primary and secondary syphilis"
2019,"Missouri","Crawford County",55,23957,"chlamydia"
2019,"Michigan","Luce County",11,6283,"chlamydia"
2019,"Tennessee","Giles County",1,29503,"primary and secondary syphilis"
2019,"Oregon","Clatsop County",2,39764,"primary and secondary syphilis"
2019,"South Carolina","Lancaster County",134,95380,"gonorrhea"
2019,"Iowa","Marshall County",176,39981,"chlamydia"
2019,"Iowa","Emmet County",0,9253,"primary and secondary syphilis"
2019,"Kansas","Doniphan County",26,7682,"chlamydia"
2019,"Florida","Madison County",95,18529,"chlamydia"
2019,"South Carolina","Dorchester County",1105,160647,"chlamydia"
2019,"South Dakota","Sully County",0,1392,"chlamydia"
2019,"Indiana","Clay County",28,26170,"gonorrhea"
2019,"Alabama","Sumter County",53,12691,"gonorrhea"
2019,"Missouri","Madison County",0,12188,"primary and secondary syphilis"
2019,"Pennsylvania","Indiana County",1,84501,"primary and secondary syphilis"
2019,"Texas","Reeves County",18,15695,"gonorrhea"
2019,"Arizona","Navajo County",804,110445,"chlamydia"
2019,"Ohio","Shelby County",42,48627,"gonorrhea"
2019,"Kansas","Greeley County",0,1227,"gonorrhea"
2019,"Missouri","Maries County",1,8769,"primary and secondary syphilis"
2019,"Louisiana","Iberia Parish",4,70941,"primary and secondary syphilis"
2019,"Georgia","Candler County",12,10836,"gonorrhea"
2019,"Louisiana","Orleans Parish",111,391006,"primary and secondary syphilis"
2019,"Texas","Kleberg County",57,31129,"gonorrhea"
2019,"Idaho","Clearwater County",2,8758,"gonorrhea"
2019,"South Carolina","Colleton County",291,37660,"chlamydia"
2019,"Ohio","Brown County",114,43602,"chlamydia"
2019,"Michigan","Calhoun County",944,134487,"chlamydia"
2019,"Pennsylvania","Schuylkill County",2,142067,"primary and secondary syphilis"
2019,"Tennessee","Marion County",3,28575,"primary and secondary syphilis"
2019,"Texas","Brewster County",6,9267,"gonorrhea"
2019,"Nebraska","Cedar County",0,8446,"primary and secondary syphilis"
2019,"Louisiana","West Baton Rouge Parish",2,26427,"primary and secondary syphilis"
2019,"North Dakota","Wells County",0,3957,"gonorrhea"
2019,"South Dakota","Ziebach County",0,2742,"primary and secondary syphilis"
2019,"Georgia","Habersham County",48,45388,"gonorrhea"
2019,"Tennessee","Carroll County",1,28020,"primary and secondary syphilis"
2019,"California","El Dorado County",119,190678,"gonorrhea"
2019,"Washington","Columbia County",8,4059,"chlamydia"
2019,"Illinois","Mason County",1,13565,"primary and secondary syphilis"
2019,"Alabama","Clarke County",64,23920,"gonorrhea"
2019,"West Virginia","Mercer County",183,59131,"chlamydia"
2019,"Tennessee","Shelby County",4187,935764,"gonorrhea"
2019,"Virginia","Southampton County",103,17586,"chlamydia"
2019,"North Carolina","Forsyth County",58,379099,"primary and secondary syphilis"
2019,"Iowa","Union County",2,12359,"primary and secondary syphilis"
2019,"Texas","Nacogdoches County",359,65711,"chlamydia"
2019,"California","Imperial County",1093,181827,"chlamydia"
2019,"Georgia","Morgan County",1,18853,"primary and secondary syphilis"
2019,"New York","Cortland County",23,47823,"gonorrhea"
2019,"Montana","Teton County",0,6162,"gonorrhea"
2019,"Maryland","Calvert County",1,92003,"primary and secondary syphilis"
2019,"Illinois","Wabash County",0,11549,"primary and secondary syphilis"
2019,"Alabama","Lamar County",13,13844,"gonorrhea"
2019,"South Dakota","Ziebach County",20,2742,"chlamydia"
2019,"Indiana","Porter County",375,169594,"chlamydia"
2019,"Michigan","Clinton County",47,79332,"gonorrhea"
2019,"Indiana","Clinton County",91,32250,"chlamydia"
2019,"Texas","Hall County",11,3028,"chlamydia"
2019,"West Virginia","Wirt County",1,5830,"gonorrhea"
2019,"Alabama","Russell County",180,57781,"gonorrhea"
2019,"Tennessee","Grundy County",48,13346,"chlamydia"
2019,"South Carolina","Cherokee County",437,57078,"chlamydia"
2019,"Florida","Volusia County",2046,547538,"chlamydia"
2019,"Montana","Pondera County",7,5972,"chlamydia"
2019,"Florida","Walton County",82,71375,"gonorrhea"
2019,"Wyoming","Uinta County",54,20299,"chlamydia"
2019,"Virginia","Alleghany County",6,14910,"gonorrhea"
2019,"Idaho","Gem County",5,17634,"gonorrhea"
2019,"Wisconsin","Dodge County",383,87847,"chlamydia"
2019,"Virginia","Rappahannock County",4,7252,"gonorrhea"
2019,"Georgia","Long County",49,18998,"chlamydia"
2019,"Indiana","Clinton County",17,32250,"gonorrhea"
2019,"Oklahoma","Osage County",86,47014,"gonorrhea"
2019,"Maryland","Garrett County",2,29163,"gonorrhea"
2019,"Missouri","New Madrid County",106,17296,"chlamydia"
2019,"Kentucky","Carlisle County",0,4771,"primary and secondary syphilis"
2019,"Indiana","Switzerland County",5,10717,"gonorrhea"
2019,"Oregon","Baker County",4,16006,"gonorrhea"
2019,"Minnesota","Marshall County",1,9390,"primary and secondary syphilis"
2019,"Louisiana","St. Mary Parish",2,49774,"primary and secondary syphilis"
2019,"Massachusetts","Essex County",3761,790638,"chlamydia"
2019,"Tennessee","Anderson County",5,76482,"primary and secondary syphilis"
2019,"Nebraska","Thurston County",69,7303,"chlamydia"
2019,"Kansas","Wabaunsee County",15,6899,"chlamydia"
2019,"Virginia","Petersburg city",11,31567,"primary and secondary syphilis"
2019,"Illinois","Jasper County",2,9611,"gonorrhea"
2019,"Colorado","El Paso County",41,713856,"primary and secondary syphilis"
2019,"Alaska","Aleutians West Census Area",14,5723,"chlamydia"
2019,"Texas","Sabine County",6,10589,"gonorrhea"
2019,"Wisconsin","Vernon County",49,30785,"chlamydia"
2019,"Alabama","St. Clair County",113,88690,"gonorrhea"
2019,"West Virginia","Summers County",13,12760,"chlamydia"
2019,"Pennsylvania","Clearfield County",32,79388,"gonorrhea"
2019,"Alabama","Blount County",1,57840,"primary and secondary syphilis"
2019,"Texas","Grimes County",36,28360,"gonorrhea"
