"year","sex","age_group","cases","population","type"
2015,"Female","35_44",381,20386206,"primary and secondary syphilis"
2015,"Female","20_24",416772,11071459,"chlamydia"
2015,"Female","20_29",175291,11052155,"chlamydia"
2015,"Female","15_19",307937,10311036,"chlamydia"
2015,"Female","35_44",11795,20386206,"gonorrhea"
2015,"Female","30_34",311,10785909,"primary and secondary syphilis"
2015,"Female","20_24",573,11071459,"primary and secondary syphilis"
2015,"Female","30_34",71653,10785909,"chlamydia"
2015,"Female","25_29",32662,11052155,"gonorrhea"
2015,"Female","35_44",47739,20386206,"chlamydia"
2016,"Female","20_24",744,10889963,"primary and secondary syphilis"
2016,"Female","15_19",340,10328153,"primary and secondary syphilis"
2016,"Female","20_24",65930,10889963,"gonorrhea"
2016,"Female","35_44",50577,20317393,"chlamydia"
2016,"Female","20_24",418388,10889963,"chlamydia"
2016,"Female","30_34",19306,10818095,"gonorrhea"
2016,"Female","15_19",316639,10328153,"chlamydia"
2016,"Female","30_34",74226,10818095,"chlamydia"
2016,"Female","35_44",504,20317393,"primary and secondary syphilis"
2016,"Female","15_19",49710,10328153,"gonorrhea"
2016,"Female","20_29",183222,11259410,"chlamydia"
2016,"Female","25_29",624,11259410,"primary and secondary syphilis"
2016,"Female","25_29",38881,11259410,"gonorrhea"
2016,"Female","30_34",464,10818095,"primary and secondary syphilis"
2016,"Female","35_44",15165,20317393,"gonorrhea"
2017,"Female","35_44",19779,20506270,"gonorrhea"
2017,"Female","15_19",327,10331169,"primary and secondary syphilis"
2017,"Female","20_29",194267,11468230,"chlamydia"
2017,"Female","15_19",337290,10331169,"chlamydia"
2017,"Female","20_24",848,10769493,"primary and secondary syphilis"
2017,"Female","35_44",54561,20506270,"chlamydia"
2017,"Female","30_34",24157,10883081,"gonorrhea"
2017,"Female","15_19",57573,10331169,"gonorrhea"
2017,"Female","25_29",795,11468230,"primary and secondary syphilis"
2017,"Female","30_34",78502,10883081,"chlamydia"
2017,"Female","35_44",713,20506270,"primary and secondary syphilis"
2017,"Female","25_29",46577,11468230,"gonorrhea"
2017,"Female","30_34",549,10883081,"primary and secondary syphilis"
2017,"Female","20_24",434050,10769493,"chlamydia"
2017,"Female","20_24",74578,10769493,"gonorrhea"
2018,"Female","15_19",56628,10322313,"gonorrhea"
2018,"Female","20_29",197966,11542918,"chlamydia"
2018,"Female","35_44",979,20690288,"primary and secondary syphilis"
2018,"Female","25_29",48991,11542918,"gonorrhea"
2018,"Female","15_19",442,10322313,"primary and secondary syphilis"
2018,"Female","20_24",437732,10672032,"chlamydia"
2018,"Female","25_29",1077,11542918,"primary and secondary syphilis"
2018,"Female","30_34",27026,10944147,"gonorrhea"
2018,"Female","35_44",22122,20690288,"gonorrhea"
2018,"Female","30_34",816,10944147,"primary and secondary syphilis"
2018,"Female","20_24",1076,10672032,"primary and secondary syphilis"
2018,"Female","15_19",341635,10322313,"chlamydia"
2018,"Female","35_44",56097,20690288,"chlamydia"
2018,"Female","30_34",81645,10944147,"chlamydia"
2018,"Female","20_24",75663,10672032,"gonorrhea"
2019,"Female","30_34",1085,10944147,"primary and secondary syphilis"
2019,"Female","20_24",78700,10672032,"gonorrhea"
2019,"Female","20_29",199581,11542918,"chlamydia"
2019,"Female","35_44",25031,20690288,"gonorrhea"
2019,"Female","35_44",60082,20690288,"chlamydia"
2019,"Female","15_19",57758,10322313,"gonorrhea"
2019,"Female","25_29",1361,11542918,"primary and secondary syphilis"
2019,"Female","15_19",502,10322313,"primary and secondary syphilis"
2019,"Female","30_34",84726,10944147,"chlamydia"
2019,"Female","15_19",344130,10322313,"chlamydia"
2019,"Female","35_44",1418,20690288,"primary and secondary syphilis"
2019,"Female","20_24",1234,10672032,"primary and secondary syphilis"
2019,"Female","25_29",51260,11542918,"gonorrhea"
2019,"Female","30_34",29045,10944147,"gonorrhea"
2019,"Female","20_24",438567,10672032,"chlamydia"
